NAME,POP,state,county
"Onondaga County, New York",460528,36,067
"Fulton County, New York",53383,36,035
"Clinton County, New York",80485,36,019
"Chenango County, New York",47207,36,017
"Oneida County, New York",228671,36,065
"Genesee County, New York",57280,36,037
"Broome County, New York",190488,36,007
"Cattaraugus County, New York",76117,36,009
"Yates County, New York",24913,36,123
"Seneca County, New York",34016,36,099
"Steuben County, New York",95379,36,101
"Rensselaer County, New York",158714,36,083
"Putnam County, New York",98320,36,079
"Queens County, New York",2253858,36,081
"Franklin County, New York",50022,36,033
"Essex County, New York",36885,36,031
"Herkimer County, New York",61319,36,043
"Hamilton County, New York",4416,36,041
"Ontario County, New York",109777,36,069
"Orange County, New York",384940,36,071
"Washington County, New York",61204,36,115
"Warren County, New York",63944,36,113
"Chautauqua County, New York",126903,36,013
"Cayuga County, New York",76576,36,011
"Kings County, New York",2559903,36,047
"Jefferson County, New York",109834,36,045
"New York County, New York",1628706,36,061
"Nassau County, New York",1356924,36,059
"Tioga County, New York",48203,36,107
"Orleans County, New York",40352,36,073
"Saratoga County, New York",229863,36,091
"St. Lawrence County, New York",107740,36,089
"Rockland County, New York",325789,36,087
"Richmond County, New York",476143,36,085
"Columbia County, New York",59461,36,021
"Cortland County, New York",47581,36,023
"Lewis County, New York",26296,36,049
"Niagara County, New York",209281,36,063
"Schoharie County, New York",30999,36,095
"Schenectady County, New York",155299,36,093
"Bronx County, New York",1418207,36,005
"Allegany County, New York",46091,36,003
"Delaware County, New York",44135,36,025
"Montgomery County, New York",49221,36,057
"Monroe County, New York",741770,36,055
"Schuyler County, New York",17807,36,097
"Tompkins County, New York",102180,36,109
"Ulster County, New York",177573,36,111
"Dutchess County, New York",294218,36,027
"Erie County, New York",918702,36,029
"Westchester County, New York",967506,36,119
"Wayne County, New York",89918,36,117
"Suffolk County, New York",1476601,36,103
"Sullivan County, New York",75432,36,105
"Wyoming County, New York",39859,36,121
"Chemung County, New York",83456,36,015
"Livingston County, New York",62914,36,051
"Madison County, New York",70941,36,053
"Oswego County, New York",117124,36,075
"Otsego County, New York",59493,36,077
"Greene County, New York",47188,36,039
"Albany County, New York",305506,36,001
